出発地点,行先,移動時間[s]
0,1,6308.1
0,2,4144.4
0,3,2428.4
0,4,4491.3
0,5,3126.1
0,6,4632.3
0,7,3103.9
1,2,3380.8
1,3,6439.9
1,4,2831.7
1,5,8434.6
1,6,8861.0
1,7,3359.8
2,3,3872.4
2,4,2209.9
2,5,6647.5
2,6,7085.2
2,7,1077.4
3,4,5063.8
3,5,5277.8
3,6,6337.6
3,7,3397.4
4,5,5728.8
4,6,6136.2
4,7,1809.7
5,6,2078.5
5,7,5607.0
6,7,6115.0
